Away_team,GameDate,Home_team,Humidity,IsPlayoffs,Location,Stadium,Surface,Team1_Team2,Temperature,Visibility,Weather_cat,Wind
IND,10/20/13,DEN,64%,0," Indianapolis, Indiana",Lucas Oil Stadium,Fieldturf,DEN_IND,52,10,A Few Clouds,9
NYG,10/21/13,MIN,62%,0," Rutherford, New Jersey",MetLife Stadium,Fieldturf,MIN_NYG,57,10,Fair,7
TB,10/24/13,CAR,66%,0," Tampa, Florida",Raymond James Stadium,Grass,CAR_TB,65,10,Mostly Cloudy,3
DET,10/27/13,DAL,50%,0," Detroit, Michigan",Ford Field,Fieldturf,DAL_DET,49,10,Mostly Cloudy,9
KC,10/27/13,CLE,31%,0," Kansas City, Missouri",Arrowhead Stadium,Grass,CLE_KC,61,10,Fair,9
NE,10/27/13,MIA,40%,0," Foxborough, Massachusetts",Gillette Stadium,Fieldturf,MIA_NE,53,10,Partly Cloudy,14
NO,10/27/13,BUF,68%,0," New Orleans, Louisiana",Mercedes-Benz Superdome,Fieldturf,BUF_NO,72,10,Mostly Cloudy,6
PHI,10/27/13,NYG,33%,0," Philadelphia, Pennsylvania",Lincoln Financial Field,Desso,NYG_PHI,58,10,A Few Clouds,13
JAX,10/27/13,SF,33%,0," Jacksonville, Florida",EverBank Field,,JAX_SF,73,10,Fair,0
OAK,10/27/13,PIT,88%,0," Oakland, California",Oakland Coliseum,Bluegrass,OAK_PIT,59,7,Mostly Cloudy,15
CIN,10/27/13,NYJ,66%,0," Cincinnati, Ohio",Paul Brown Stadium,,CIN_NYJ,48,10,Fair,0
DEN,10/27/13,WAS,11%,0," Denver, Colorado",Sports Authority Field at Mile High,Grass,DEN_WAS,68,60,Partly Cloudy,8
ARI,10/27/13,ATL,14%,0," Glendale, Arizona",University of Phoenix Stadium,Grass,ARI_ATL,88,20,Partly Cloudy,8
MIN,10/27/13,GB,60%,0," Minneapolis, Minnesota",Hubert H. Humphrey Metrodome,Fieldturf,GB_MIN,44,10,Fair,14
LA,10/28/13,SEA,64%,0," St. Louis, Missouri",Edward Jones Dome,Fieldturf,LA_SEA,53,10,Mostly Cloudy,4
MIA,10/31/13,CIN,79%,0," Miami Gardens, Florida",Hard Rock Stadium,Grass,CIN_MIA,78,10,A Few Clouds,5
BUF,11/3/13,KC,48%,0," Orchard Park, New York",New Era Field,A-Turf,BUF_KC,38,10,A Few Clouds,5
WAS,11/3/13,LAC,72%,0," Landover, Maryland",FedExField,Grass,LAC_WAS,49,10,Mostly Cloudy,10
CAR,11/3/13,ATL,37%,0," Charlotte, North Carolina",Bank of America Stadium,Grass,ATL_CAR,62,10,A Few Clouds,12
DAL,11/3/13,MIN,37%,0," Arlington, Texas",AT&T Stadium,RealGrass,DAL_MIN,64,10,Clear,7
LA,11/3/13,TEN,38%,0," St. Louis, Missouri",Edward Jones Dome,Fieldturf,LA_TEN,58,10,A Few Clouds,13
NYJ,11/3/13,NO,41%,0," Rutherford, New Jersey",MetLife Stadium,Fieldturf,NO_NYJ,53,10,Overcast,8
SEA,11/3/13,TB,57%,0," Seattle, Washington",CenturyLink Field,Fieldturf,SEA_TB,52,10,Mostly Cloudy,4
OAK,11/3/13,PHI,41%,0," Oakland, California",Oakland Coliseum,Bluegrass,OAK_PHI,62,10,Overcast,10
NE,11/3/13,PIT,36%,0," Foxborough, Massachusetts",Gillette Stadium,Fieldturf,NE_PIT,42,10,Fair,3
CLE,11/3/13,BAL,0%,0," Cleveland, Ohio",Cleveland Municipal Stadium,Grass,BAL_CLE,0,10,A Few Clouds,15
HOU,11/3/13,IND,64%,0," Houston, Texas",NRG Stadium,Grass,HOU_IND,59,10,A Few Clouds,8
GB,11/4/13,CHI,86%,0," Green Bay, Wisconsin",Lambeau Field,Desso,CHI_GB,48,8,Overcast,6
MIN,11/7/13,WAS,82%,0," Minneapolis, Minnesota",Hubert H. Humphrey Metrodome,Fieldturf,MIN_WAS,32,7,Fair,0
ATL,11/10/13,SEA,33%,0," Atlanta, Georgia",Georgia Dome,Fieldturf,ATL_SEA,69,10,Fair,6
